National_Dex,Name,Type_1,Type_2,Total_Base_Stats,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Height_m,Weight_kg,Catch_Rate,Legendary_Status
30,Nidorina,Poison,None,365,70,62,67,55,55,56,1,0.8,20.0,120,False
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,1.3,60.0,45,False
32,Nidoran♂,Poison,None,273,46,57,40,40,40,50,1,0.5,9.0,235,False
33,Nidorino,Poison,None,365,61,72,57,55,55,65,1,0.9,19.5,120,False
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,1.4,62.0,45,False
35,Clefairy,Fairy,None,323,70,45,48,60,65,35,1,0.6,7.5,150,False
36,Clefable,Fairy,None,483,95,70,73,95,90,60,1,1.3,40.0,25,False
37,Vulpix,Fire,None,299,38,41,40,50,65,65,1,0.6,9.9,190,False
38,Ninetales,Fire,None,505,73,76,75,81,100,100,1,1.1,19.9,75,False
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,0.5,5.5,170,False
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,1.0,12.0,50,False
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,0.8,7.5,255,False
42,Golbat,Poison,Flying,420,75,80,70,65,75,90,1,1.6,55.0,90,False
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,0.5,4.2,255,False
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,0.8,8.6,120,False
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,1.2,18.6,45,False
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,0.3,5.4,190,False
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,1.0,29.5,75,False
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,1.0,30.0,190,False
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,1.5,12.5,75,False
50,Diglett,Ground,None,265,10,55,25,35,45,95,1,0.2,0.8,255,False
51,Dugtrio,Ground,None,405,35,100,50,50,70,120,1,0.7,33.3,50,False
52,Meowth,Normal,None,290,40,45,35,40,40,90,1,0.4,4.2,255,False
53,Persian,Normal,None,440,65,70,60,65,65,115,1,1.0,32.0,90,False
54,Psyduck,Water,None,320,50,52,48,65,50,55,1,0.8,19.6,190,False
55,Golduck,Water,None,500,80,82,78,95,80,85,1,1.7,76.6,75,False
56,Mankey,Fighting,None,305,40,80,35,35,45,70,1,0.5,28.0,190,False
57,Primeape,Fighting,None,455,65,105,60,60,70,95,1,1.0,32.0,75,False
58,Growlithe,Fire,None,350,55,70,45,70,50,60,1,0.7,19.0,190,False
59,Arcanine,Fire,None,555,90,110,80,100,80,95,1,1.9,155.0,75,False
60,Poliwag,Water,None,300,40,50,40,40,40,90,1,0.6,12.4,255,False
61,Poliwhirl,Water,None,385,65,65,65,50,50,90,1,1.0,20.0,120,False
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,1.3,54.0,45,False
63,Abra,Psychic,None,310,25,20,15,105,55,90,1,0.9,19.5,200,False
64,Kadabra,Psychic,None,400,40,35,30,120,70,105,1,1.3,56.5,100,False
65,Alakazam,Psychic,None,500,55,50,45,135,95,120,1,1.5,48.0,50,False
66,Machop,Fighting,None,305,70,80,50,35,35,35,1,0.8,19.5,180,False
67,Machoke,Fighting,None,405,80,100,70,50,60,45,1,1.5,70.5,90,False
68,Machamp,Fighting,None,505,90,130,80,65,85,55,1,1.6,130.0,45,False
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,0.7,4.0,255,False
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,1.0,6.4,120,False
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,1.7,15.5,45,False
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,0.9,45.5,190,False
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,1.6,55.0,60,False
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,0.4,20.0,255,False
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,1.0,105.0,120,False
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,1.4,300.0,45,False
77,Ponyta,Fire,None,410,50,85,55,65,65,90,1,1.0,30.0,190,False
78,Rapidash,Fire,None,500,65,100,70,80,80,105,1,1.7,95.0,60,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,1.2,36.0,190,False
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,1.6,78.5,75,False
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,0.3,6.0,190,False
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,1.0,60.0,60,False
83,Farfetch'd,Normal,Flying,370,52,90,55,58,62,60,1,0.8,15.0,45,False
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,1.4,39.2,190,False
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,1.8,85.2,45,False
86,Seel,Water,None,325,65,45,55,45,70,45,1,1.1,90.0,190,False
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,1.7,120.0,75,False
88,Grimer,Poison,None,325,80,80,50,40,50,25,1,0.9,30.0,190,False
89,Muk,Poison,None,500,105,105,75,65,100,50,1,1.2,30.0,75,False
90,Shellder,Water,None,305,30,65,100,45,25,40,1,0.3,4.0,190,False
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,1.5,132.5,60,False
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,1.3,0.1,190,False
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,1.6,0.1,90,False
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,1.5,40.5,45,False
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,8.8,210.0,45,False
96,Drowzee,Psychic,None,328,60,48,45,43,90,42,1,1.0,32.4,190,False
97,Hypno,Psychic,None,483,85,73,70,73,115,67,1,1.6,75.6,75,False
98,Krabby,Water,None,325,30,105,90,25,25,50,1,0.4,6.5,225,False
99,Kingler,Water,None,475,55,130,115,50,50,75,1,1.3,60.0,60,False
100,Voltorb,Electric,None,330,40,30,50,55,55,100,1,0.5,10.4,190,False
101,Electrode,Electric,None,480,60,50,70,80,80,150,1,1.2,66.6,60,False
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,0.4,2.5,90,False
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,45,1,2.0,120.0,45,False
104,Cubone,Ground,None,320,50,50,95,40,50,35,1,0.4,6.5,190,False
105,Marowak,Ground,None,425,60,80,110,50,80,45,1,1.0,45.0,75,False
106,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,1,1.5,49.8,45,False
107,Hitmonchan,Fighting,None,455,50,105,79,35,110,76,1,1.4,50.2,45,False
108,Lickitung,Normal,None,385,90,55,75,60,75,30,1,1.2,65.5,45,False
109,Koffing,Poison,None,340,40,65,95,60,45,35,1,0.6,1.0,190,False
110,Weezing,Poison,None,490,65,90,120,85,70,60,1,1.2,9.5,60,False
111,Rhyhorn,Ground,Rock,340,80,85,95,30,30,25,1,1.0,115.0,120,False
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,1.9,120.0,60,False
113,Chansey,Normal,None,450,250,5,5,35,105,50,1,1.1,34.6,30,False
114,Tangela,Grass,None,435,65,55,115,100,40,60,1,1.0,35.0,45,False
115,Kangaskhan,Normal,None,490,105,95,80,40,80,90,1,2.2,80.0,45,False
116,Horsea,Water,None,295,30,40,70,70,25,60,1,0.4,8.0,225,False
117,Seadra,Water,None,440,55,65,95,95,45,85,1,1.2,25.0,75,False
118,Goldeen,Water,None,320,45,67,60,35,50,63,1,0.6,15.0,225,False
119,Seaking,Water,None,450,80,92,65,65,80,68,1,1.3,39.0,60,False
120,Staryu,Water,None,340,30,45,55,70,55,85,1,0.8,34.5,225,False
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,1.1,80.0,60,False
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,1.3,54.5,45,False
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,1.5,56.0,45,False
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,1.4,40.6,45,False
125,Electabuzz,Electric,None,490,65,83,57,95,85,105,1,1.1,30.0,45,False
126,Magmar,Fire,None,495,65,95,57,100,85,93,1,1.3,44.5,45,False
127,Pinsir,Bug,None,500,65,125,100,55,70,85,1,1.5,55.0,45,False
128,Tauros,Normal,None,490,75,100,95,40,70,110,1,1.4,88.4,45,False
129,Magikarp,Water,None,200,20,10,55,15,20,80,1,0.9,10.0,255,False
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,6.5,235.0,45,False
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,2.5,220.0,45,False
132,Ditto,Normal,None,280,48,48,48,48,48,48,1,0.3,4.0,35,False
133,Eevee,Normal,None,325,55,55,50,45,65,55,1,0.3,6.5,45,False
134,Vaporeon,Water,None,525,130,65,60,110,95,65,1,1.0,29.0,45,False
135,Jolteon,Electric,None,525,65,65,60,110,95,130,1,0.8,24.5,45,False
136,Flareon,Fire,None,525,65,130,60,95,110,65,1,0.9,25.0,45,False
137,Porygon,Normal,None,395,65,60,70,85,75,40,1,0.8,36.5,45,False
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,0.4,7.5,45,False
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,1.0,35.0,45,False
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,0.5,11.5,45,False
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,1.3,40.5,45,False
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,1.8,59.0,45,False
143,Snorlax,Normal,None,540,160,110,65,65,110,30,1,2.1,460.0,25,False
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,1.7,55.4,3,Legendary
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,1.6,52.6,3,Legendary
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,2.0,60.0,3,Legendary
147,Dratini,Dragon,None,300,41,64,45,50,50,50,1,1.8,3.3,45,False
148,Dragonair,Dragon,None,420,61,84,65,70,70,70,1,4.0,16.5,45,False
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,2.2,210.0,45,False
150,Mewtwo,Psychic,None,680,106,110,90,154,90,130,1,2.0,122.0,3,Legendary
151,Mew,Psychic,None,600,100,100,100,100,100,100,1,0.4,4.0,45,Mythical
152,Chikorita,Grass,None,318,45,49,65,49,65,45,2,0.9,6.4,45,False
153,Bayleef,Grass,None,405,60,62,80,63,80,60,2,1.2,15.8,45,False
154,Meganium,Grass,None,525,80,82,100,83,100,80,2,1.8,100.5,45,False
155,Cyndaquil,Fire,None,309,39,52,43,60,50,65,2,0.5,7.9,45,False
156,Quilava,Fire,None,405,58,64,58,80,65,80,2,0.9,19.0,45,False
157,Typhlosion,Fire,None,534,78,84,78,109,85,100,2,1.7,79.5,45,False
158,Totodile,Water,None,314,50,65,64,44,48,43,2,0.6,9.5,45,False
159,Croconaw,Water,None,405,65,80,80,59,63,58,2,1.1,25.0,45,False
160,Feraligatr,Water,None,530,85,105,100,79,83,78,2,2.3,88.8,45,False
161,Sentret,Normal,None,215,35,46,34,35,45,20,2,0.8,6.0,255,False
162,Furret,Normal,None,415,85,76,64,45,55,90,2,1.8,32.5,90,False
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,0.7,21.2,255,False
164,Noctowl,Normal,Flying,452,100,50,50,76,96,70,2,1.6,40.8,90,False
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,1.0,10.8,255,False
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,1.4,35.6,90,False
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,0.5,8.5,255,False
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,1.1,33.5,90,False
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,1.8,75.0,90,False
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,0.5,12.0,190,False
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,1.2,22.5,75,False
172,Pichu,Electric,None,205,20,40,15,35,35,60,2,0.3,2.0,190,False
173,Cleffa,Fairy,None,218,50,25,28,45,55,15,2,0.3,3.0,150,False
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,0.3,1.0,170,False
175,Togepi,Fairy,None,245,35,20,65,40,65,20,2,0.3,1.5,190,False
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,0.6,3.2,75,False
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,0.2,2.0,190,False
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,1.5,15.0,75,False
179,Mareep,Electric,None,280,55,40,40,65,45,35,2,0.6,7.8,235,False
180,Flaaffy,Electric,None,365,70,55,55,80,60,45,2,0.8,13.3,120,False
181,Ampharos,Electric,None,510,90,75,85,115,90,55,2,1.4,61.5,45,False
182,Bellossom,Grass,None,490,75,80,95,90,100,50,2,0.4,5.8,45,False
183,Marill,Water,Fairy,285,70,20,50,20,50,40,2,0.4,8.5,190,False
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,0.8,28.5,75,False
185,Sudowoodo,Rock,None,410,70,100,115,30,65,30,2,1.2,38.0,65,False
186,Politoed,Water,None,500,90,75,75,90,100,70,2,1.1,33.9,45,False
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,0.4,0.5,255,False
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,0.6,1.0,120,False
189,Jumpluff,Grass,Flying,450,75,55,70,55,95,110,2,0.8,3.0,45,False
190,Aipom,Normal,None,360,55,70,55,40,55,85,2,0.8,11.5,45,False
191,Sunkern,Grass,None,180,30,30,30,30,30,30,2,0.3,1.8,235,False
192,Sunflora,Grass,None,425,75,75,55,105,85,30,2,0.8,8.5,120,False
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,1.2,38.0,75,False
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,0.4,8.5,255,False
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,1.4,75.0,90,False
196,Espeon,Psychic,None,525,65,65,60,130,95,110,2,0.9,26.5,45,False
197,Umbreon,Dark,None,525,95,65,110,60,130,65,2,1.0,27.0,45,False
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,0.5,2.1,30,False
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,2.0,79.5,45,False
200,Misdreavus,Ghost,None,435,60,60,60,85,85,85,2,0.7,1.0,45,False
201,Unown,Psychic,None,318,48,72,48,72,48,48,2,0.5,5.0,225,False
202,Wobbuffet,Psychic,None,405,190,33,58,33,58,33,2,1.3,28.5,45,False
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,1.5,41.5,60,False
204,Pineco,Bug,None,290,50,65,90,35,35,15,2,0.6,7.2,190,False
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,1.2,125.8,75,False
206,Dunsparce,Normal,None,415,100,70,70,65,65,45,2,1.5,14.0,190,False
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,1.1,64.8,60,False
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,9.2,400.0,25,False
209,Snubbull,Fairy,None,300,50,80,50,40,40,30,2,0.6,7.8,190,False
210,Granbull,Fairy,None,450,90,120,75,60,60,45,2,1.4,48.7,75,False
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,2,0.5,3.9,45,False
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,1.8,118.0,45,False
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,0.6,20.5,190,False
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,1.5,54.0,45,False
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,0.9,28.0,60,False
216,Teddiursa,Normal,None,330,60,80,50,50,50,40,2,0.6,8.8,120,False
217,Ursaring,Normal,None,500,90,130,75,75,75,55,2,1.8,125.8,60,False
218,Slugma,Fire,None,310,40,40,40,70,40,20,2,0.7,35.0,190,False
219,Magcargo,Fire,Rock,430,50,50,120,80,80,30,2,0.8,55.0,75,False
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,0.4,6.5,235,False
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,1.1,51.5,75,False
222,Corsola,Water,Rock,410,65,55,95,65,95,35,2,0.6,5.0,60,False
223,Remoraid,Water,None,300,35,65,35,65,35,65,2,0.6,12.0,190,False
224,Octillery,Water,None,480,75,105,75,105,75,45,2,0.9,28.5,75,False
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,0.9,16.0,45,False
226,Mantine,Water,Flying,465,85,40,70,80,140,70,2,2.1,220.0,25,False
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,1.7,50.5,25,False
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,0.6,10.8,120,False
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,1.4,35.0,45,False
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,1.8,152.0,45,False
231,Phanpy,Ground,None,330,90,60,60,40,40,40,2,0.5,33.5,120,False
232,Donphan,Ground,None,450,90,120,120,60,60,50,2,1.1,120.0,60,False
233,Porygon2,Normal,None,515,85,80,90,105,95,60,2,0.6,32.5,45,False
234,Stantler,Normal,None,465,73,95,62,85,65,85,2,1.4,71.2,45,False
235,Smeargle,Normal,None,250,55,20,35,20,45,75,2,1.2,58.0,45,False
236,Tyrogue,Fighting,None,210,35,35,35,35,35,35,2,0.7,21.0,75,False
237,Hitmontop,Fighting,None,455,50,95,95,35,110,70,2,1.4,48.0,45,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,0.4,6.0,45,False
239,Elekid,Electric,None,360,45,63,37,65,55,95,2,0.6,23.5,45,False
240,Magby,Fire,None,365,45,75,37,70,55,83,2,0.7,21.4,45,False
241,Miltank,Normal,None,490,95,80,105,40,70,100,2,1.2,75.5,45,False
242,Blissey,Normal,None,540,255,10,10,75,135,55,2,1.5,46.8,30,False
243,Raikou,Electric,None,580,90,85,75,115,100,115,2,1.9,178.0,3,Legendary
244,Entei,Fire,None,580,115,115,85,90,75,100,2,2.1,198.0,3,Legendary
245,Suicune,Water,None,580,100,75,115,90,115,85,2,2.0,187.0,3,Legendary
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,0.6,72.0,45,False
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,1.2,152.0,45,False
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,2.0,202.0,45,False
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,5.2,216.0,3,Legendary
250,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,2,3.8,199.0,3,Legendary
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,0.6,5.0,45,Mythical
252,Treecko,Grass,None,310,40,45,35,65,55,70,3,0.5,5.0,45,False
253,Grovyle,Grass,None,405,50,65,45,85,65,95,3,0.9,21.6,45,False
254,Sceptile,Grass,None,530,70,85,65,105,85,120,3,1.7,52.2,45,False
255,Torchic,Fire,None,310,45,60,40,70,50,45,3,0.4,2.5,45,False
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,0.9,19.5,45,False
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,1.9,52.0,45,False
258,Mudkip,Water,None,310,50,70,50,50,50,40,3,0.4,7.6,45,False
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,0.7,28.0,45,False
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,1.5,81.9,45,False
261,Poochyena,Dark,None,220,35,55,35,30,30,35,3,0.5,13.6,255,False
262,Mightyena,Dark,None,420,70,90,70,60,60,70,3,1.0,37.0,127,False
263,Zigzagoon,Normal,None,240,38,30,41,30,41,60,3,0.4,3.2,255,False
264,Linoone,Normal,None,420,78,70,61,50,61,100,3,0.5,32.5,90,False
265,Wurmple,Bug,None,195,45,45,35,20,30,20,3,0.3,3.6,255,False
266,Silcoon,Bug,None,205,50,35,55,25,25,15,3,0.6,10.0,120,False
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,1.0,28.4,45,False
268,Cascoon,Bug,None,205,50,35,55,25,25,15,3,0.7,11.5,120,False
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,1.2,31.6,45,False
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,0.5,2.6,255,False
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,1.2,32.5,120,False
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,1.5,55.0,45,False
273,Seedot,Grass,None,220,40,40,50,30,30,30,3,0.5,4.0,255,False
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,1.0,28.0,120,False
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,1.3,59.6,45,False
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,0.3,2.3,200,False
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,3,0.7,19.8,45,False
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,0.6,9.5,190,False
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,3,1.2,28.0,45,False
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,0.4,6.6,235,False
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,0.8,20.2,120,False
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,1.6,48.4,45,False
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,0.5,1.7,200,False
284,Masquerain,Bug,Flying,414,70,60,62,100,82,80,3,0.8,3.6,75,False
285,Shroomish,Grass,None,295,60,40,60,40,60,35,3,0.4,4.5,255,False
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,1.2,39.2,90,False
287,Slakoth,Normal,None,280,60,60,60,35,35,30,3,0.8,24.0,255,False
288,Vigoroth,Normal,None,440,80,80,80,55,55,90,3,1.4,46.5,120,False
289,Slaking,Normal,None,670,150,160,100,95,65,100,3,2.0,130.5,45,False
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,0.5,5.5,255,False
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,0.8,12.0,120,False
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,0.8,1.2,45,False
293,Whismur,Normal,None,270,64,51,23,51,23,28,3,0.6,16.3,190,False
294,Loudred,Normal,None,360,84,71,43,71,43,48,3,1.0,40.5,120,False
295,Exploud,Normal,None,490,104,91,63,91,73,68,3,1.5,84.0,45,False
296,Makuhita,Fighting,None,237,72,60,30,20,30,25,3,1.0,86.4,180,False
297,Hariyama,Fighting,None,474,144,120,60,40,60,50,3,2.3,253.8,200,False
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,0.2,2.0,150,False
299,Nosepass,Rock,None,375,30,45,135,45,90,30,3,1.0,97.0,255,False
300,Skitty,Normal,None,260,50,45,45,35,35,50,3,0.6,11.0,255,False
301,Delcatty,Normal,None,400,70,65,65,55,55,70,3,1.1,32.6,60,False
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,0.5,11.0,45,False
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,0.6,11.5,45,False
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,0.4,60.0,180,False
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,0.9,120.0,90,False
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,2.1,360.0,45,False
307,Meditite,Fighting,Psychic,288,30,40,55,40,55,60,3,0.6,11.2,180,False
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,1.3,31.5,90,False
309,Electrike,Electric,None,295,40,45,40,65,40,65,3,0.6,15.2,120,False
310,Manectric,Electric,None,475,70,75,60,105,60,105,3,1.5,40.2,45,False
311,Plusle,Electric,None,405,60,50,40,85,75,95,3,0.4,4.2,200,False
312,Minun,Electric,None,405,60,40,50,75,85,95,3,0.4,4.2,200,False
313,Volbeat,Bug,None,430,65,73,55,47,75,85,3,0.7,17.7,150,False
314,Illumise,Bug,None,430,65,47,55,73,75,85,3,0.6,13.8,150,False
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,0.3,2.0,150,False
316,Gulpin,Poison,None,300,70,43,53,43,53,40,3,0.4,10.3,225,False
317,Swalot,Poison,None,430,100,73,83,73,83,55,3,1.7,80.0,75,False
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,0.8,20.8,225,False
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,1.8,88.8,60,False
320,Wailmer,Water,None,400,130,70,35,70,35,60,3,2.0,130.5,125,False
321,Wailord,Water,None,500,170,90,45,90,45,60,3,14.5,398.0,60,False
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,0.7,24.0,255,False
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,1.9,220.0,150,False
